id,type,subtype,balance,currency_code,name,person_id,account_id,date
1968bd13-dd25-4f88-bccc-5cff92d6811b,BANK,SAVINGS_ACCOUNT,3826.72,BRL,Caixinha,644f5d18-5bfa-45f9-8aa7-401c05b3b9f2,1968bd13-dd25-4f88-bccc-5cff92d6811b,2023-09-14 14:03:16
978f92cf-8d5b-437a-a046-cdaa9105624c,CREDIT,CREDIT_CARD,6311.67,BRL,Cartão de Crédito,644f5d18-5bfa-45f9-8aa7-401c05b3b9f2,978f92cf-8d5b-437a-a046-cdaa9105624c,2023-09-15 15:50:21
dcd96f70-8b16-42b0-a944-afec5d8305ce,CREDIT,CREDIT_CARD,7482.25,BRL,Cartão de Crédito,644f5d18-5bfa-45f9-8aa7-401c05b3b9f2,dcd96f70-8b16-42b0-a944-afec5d8305ce,2023-09-09 03:38:49
6c2a44fe-2ba7-4626-aaff-f244a0647eae,BANK,SAVINGS_ACCOUNT,5740.29,BRL,Caixinha,644f5d18-5bfa-45f9-8aa7-401c05b3b9f2,6c2a44fe-2ba7-4626-aaff-f244a0647eae,2023-09-12 14:21:21
abb359a2-3802-48e7-976b-8671e1de0884,BANK,CHECKING_ACCOUNT,5136.49,BRL,Conta Corrente,644f5d18-5bfa-45f9-8aa7-401c05b3b9f2,abb359a2-3802-48e7-976b-8671e1de0884,2023-09-12 04:10:04
c368256f-c904-4eed-bf91-983a7dba6012,CREDIT,CREDIT_CARD,8075.45,BRL,Cartão de Crédito,01018c18-ecb5-4cb6-b16f-bece97935974,c368256f-c904-4eed-bf91-983a7dba6012,2023-09-15 07:52:10
1598a6e0-9de1-46d5-97e8-0d51b998e45f,BANK,CHECKING_ACCOUNT,5565.25,BRL,Conta Corrente,65d3336e-dafd-4663-8a53-97792c847074,1598a6e0-9de1-46d5-97e8-0d51b998e45f,2023-09-14 12:45:21
c4b9cc37-1e18-42db-b255-92f8a439107c,BANK,SAVINGS_ACCOUNT,939.54,BRL,Conta Remunerada,65d3336e-dafd-4663-8a53-97792c847074,c4b9cc37-1e18-42db-b255-92f8a439107c,2023-09-15 04:16:40
d5baa248-27fd-4de2-8b10-7e59f418a6e6,BANK,CHECKING_ACCOUNT,1968.98,BRL,Conta Corrente,65d3336e-dafd-4663-8a53-97792c847074,d5baa248-27fd-4de2-8b10-7e59f418a6e6,2023-09-12 05:52:52
995a8106-754a-442f-8f5c-e6afab7ff738,CREDIT,CREDIT_CARD,3009.61,BRL,Cartão de Crédito,65d3336e-dafd-4663-8a53-97792c847074,995a8106-754a-442f-8f5c-e6afab7ff738,2023-09-15 05:38:34
54cd3d71-6c99-4f40-9ce3-e8720db6924e,BANK,SAVINGS_ACCOUNT,6393.97,BRL,Caixinha,65d3336e-dafd-4663-8a53-97792c847074,54cd3d71-6c99-4f40-9ce3-e8720db6924e,2023-09-15 07:11:00
941617c1-8b2c-4cd1-8c08-b7890ecd0cc8,BANK,CHECKING_ACCOUNT,830.44,BRL,Conta Corrente,6a33c027-13f2-4fbf-8bbb-74e6438d11c8,941617c1-8b2c-4cd1-8c08-b7890ecd0cc8,2023-09-09 10:09:16
3b142aa7-8897-45ce-9247-52dc72689684,CREDIT,CREDIT_CARD,8768.38,BRL,Cartão de Crédito,6a33c027-13f2-4fbf-8bbb-74e6438d11c8,3b142aa7-8897-45ce-9247-52dc72689684,2023-09-07 17:55:43
135a4f35-f9c4-4347-94b9-2c8deb91a645,BANK,SAVINGS_ACCOUNT,8160.56,BRL,Caixinha,6a33c027-13f2-4fbf-8bbb-74e6438d11c8,135a4f35-f9c4-4347-94b9-2c8deb91a645,2023-09-15 14:45:32
bbe835ca-0b71-4a03-89d6-f91710bf0dd4,BANK,SAVINGS_ACCOUNT,3200.85,BRL,Poupança,6a33c027-13f2-4fbf-8bbb-74e6438d11c8,bbe835ca-0b71-4a03-89d6-f91710bf0dd4,2023-09-06 20:32:21
